"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"upstream",9.390,1,81080,41.880,3.567
"substantive",9.380,1,81148,41.880,3.570
"deluxe",9.340,1,81601,41.880,3.590
"List",9.340,3,285429,125.639,12.558
"strictly",9.330,3,285624,125.639,12.567
"merge",9.270,3,287780,125.639,12.662
"feasible",9.270,2,185133,83.759,8.145
"entity",9.260,7,699338,293.157,30.769
"downright",9.250,1,82648,41.880,3.636
"system",9.240,122,12541715,5109.306,551.801
"collectively",9.220,2,186141,83.759,8.190
"censor",9.190,1,83357,41.880,3.667
"nowadays",9.170,4,395018,167.518,17.380
"practical",9.120,11,1127703,460.675,49.616
"continuing",9.070,1,84707,41.880,3.727
"liter",9.060,1,84844,41.880,3.733
"refuse",9.060,11,1135572,460.675,49.962
"trap",9.050,5,505664,209.398,22.248
"fist",9.010,2,191090,83.759,8.407
"embody",8.980,2,191734,83.759,8.436
"bureaucracy",8.890,1,86961,41.880,3.826
"confusion",8.810,4,412208,167.518,18.136
"oppress",8.800,1,88028,41.880,3.873
"sweetheart",8.750,1,88605,41.880,3.898
"gap",8.750,7,741053,293.157,32.604
"perpetrator",8.750,1,88665,41.880,3.901
"definition",8.700,9,964010,376.916,42.414
"determination",8.700,4,417336,167.518,18.362
"printed",8.700,2,198812,83.759,8.747
"grim",8.630,1,90151,41.880,3.966
"reward",8.620,10,1084608,418.796,47.720
"nuance",8.580,1,90844,41.880,3.997
"invalid",8.460,1,92512,41.880,4.070
"philosophy",8.450,6,656097,251.277,28.866
"obsolete",8.440,1,92695,41.880,4.078
"monetary",8.410,3,319358,125.639,14.051
"coherent",8.400,1,93242,41.880,4.102
"constitute",8.400,4,433142,167.518,19.057
"gladly",8.390,1,93463,41.880,4.112
"proliferation",8.300,1,94697,41.880,4.166
"intrinsic",8.280,1,94960,41.880,4.178
"means",8.240,5,557316,209.398,24.520
"shell",8.230,5,558147,209.398,24.557
"specification",8.230,4,442674,167.518,19.476
"motif",8.140,1,97036,41.880,4.269
"emulate",8.130,1,97078,41.880,4.271
"exceedingly",8.130,1,97200,41.880,4.277
"Chrome",8.120,1,97270,41.880,4.280
"override",8.050,1,98397,41.880,4.329
"constrain",8.030,1,98586,41.880,4.338
"Privacy",8.020,1,98856,41.880,4.349
"lest",8.000,1,99077,41.880,4.359
"Commons",8.000,1,99114,41.880,4.361
"comrade",7.990,1,99175,41.880,4.363
"amuse",7.940,1,99987,41.880,4.399
"tempt",7.910,2,220827,83.759,9.716
"package",7.910,16,1906283,670.073,83.871
"cooling",7.890,1,100796,41.880,4.435
"fascination",7.880,1,101025,41.880,4.445
"satisfied",7.860,1,101337,41.880,4.459
"absent",7.850,2,222764,83.759,9.801
"System",7.840,7,829737,293.157,36.506
"donation",7.790,6,713358,251.277,31.386
"imaginative",7.780,1,102506,41.880,4.510
"endanger",7.740,1,103251,41.880,4.543
"intended",7.730,1,103287,41.880,4.544
"disastrous",7.700,1,103849,41.880,4.569
"Hopkins",7.680,1,104115,41.880,4.581
"strategically",7.650,1,104587,41.880,4.602
"Library",7.570,4,483073,167.518,21.254
"Motorola",7.560,1,106189,41.880,4.672
"useful",7.550,15,1870508,628.193,82.297
"spectrum",7.530,3,359489,125.639,15.817
"eagerly",7.530,1,106734,41.880,4.696
"compile",7.520,3,360233,125.639,15.849
"plausible",7.510,1,107047,41.880,4.710
"independently",7.460,2,235366,83.759,10.355
"oppression",7.430,1,108501,41.880,4.774
"obligation",7.410,5,622329,209.398,27.381
"deserve",7.410,7,879640,293.157,38.702
"functionality",7.380,4,496573,167.518,21.848
"port",7.370,7,884020,293.157,38.894
"g",7.350,3,368626,125.639,16.219
"utility",7.350,5,628254,209.398,27.641
"solidarity",7.340,1,109969,41.880,4.838
"tempting",7.340,1,110086,41.880,4.843
"spiritually",7.340,1,110109,41.880,4.844
"versa",7.330,1,110259,41.880,4.851
"eBook",7.250,1,111662,41.880,4.913
"ought",7.210,6,772083,251.277,33.970
"sovereignty",7.140,1,113816,41.880,5.008
"harm",7.110,6,783370,251.277,34.466
"introductory",7.060,1,115407,41.880,5.078
